sheet,group,site,year,doy_range,fill_rgb,colour_meaning,colour_exact,site_fill_rgb,site_colour_meaning,status,time_series,year_processed,staff,remarks
Continuous,NCKU MINDORO,SABL,2025,1---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2026,1---26,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,BACO,2010,147---204,,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,BACO,2012,,FF1E4E79,Data to be retrieved,no,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,BACO,2013,,FF1E4E79,Data to be retrieved,no,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,BACO,2014,182---365,,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,BACO,2015,1---41,,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,BACO,2017,236---365,,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,BACO,2018,1---365,,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,BACO,2019,"1-175, 214, 240-365",,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,BACO,2020,1---157,,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,BACO,2021,280.0,,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,BACO,2022,265---300,,,,FFFF0000,Old site/pulled out/decommissioned,False,False,,,True
Continuous,NCKU MINDORO,JOSE,2010,,FF1E4E79,Data to be retrieved,no,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2012,,FF1E4E79,Data to be retrieved,no,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2013,,FF1E4E79,Data to be retrieved,no,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2014,202---365,,,,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2015,1---365,,,,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2016,1---366,,,,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2017,1---365,,,,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2018,1---365,,,,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2019,"1-240, 244-365",,,,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2020,1---366,,,,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2021,"1-95, 349-365",,,,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,JOSE,2022,1---193,,,,FFFF0000,Old site/pulled out/decommissioned,Processing,Processing,,,To retrieve
Continuous,NCKU MINDORO,MAMB,2010,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU MINDORO,MAMB,2012,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU MINDORO,MAMB,2013,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU MINDORO,MAMB,2014,202---365,,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU MINDORO,MAMB,2015,"1-178, 232-365",,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU MINDORO,MAMB,2016,1---333,,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU MINDORO,MAMB,2017,44---365,,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU MINDORO,MAMB,2018,1---365,,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU MINDORO,MAMB,2019,"1-240, 244-365",,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU MINDORO,MAMB,2020,1---366,,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
